Original,Deutsch,Englisch
T1 / Beetle,VW K&auml;fer,VW Beetle
Karmann Ghia,Karmann Ghia,Karmann Ghia
T2 Splitscreen,VW Bus T1,VW Bus T1 splitscreen
Buggy/Baja,Buggy oder Baja Umbau,Buggy/Baja
T2 / Baywindow 68-73 1600cc,VW Bus T2 ,VW Bus Baywindow
T2 Bay,VW Bus T2 ,VW Bus Baywindow
T25,VW Bus T3,VW Bus T25
T4,VW Bus T4,VW Bus T4
Mk1 Golf,VW Golf 1,Mk1 Golf
Mk2 Golf,VW Golf 2,Mk2 Golf
Jetta,VW Jetta,VW Jetta
Scirocco,VW Scirocco,VW Scirocco
Mexican Beetle,VW K&auml;fer 1600i,Mexican Beetle
Golf Mk1 cabrio,VW Golf 1 Cabriolet,VW Golf Mk1 cabrio
Mk1 Caddy,VW Golf 1 Caddy,VW Caddy
Mk1 Scirocco,VW Scirocco 1,VW Scirocco MK1
Mk2 Scirocco,VW Scirocco 2,VW Scirocco MK2
1600cc,1.6l,1600cc
1700cc,1.7l,1700cc
2000cc,2.0l,2000cc
1200cc,1.2l,1200cc
1300cc,1.2l,1300cc
1500cc,1.5l,1500cc
KG Karmann Ghia,Karmann Ghia,Karmann Ghia
VW T2 Brazil  ,VW Brasil Bus   ,VW Bus Baywindow Brazil  
T2,VW Bus,VW Bus Baywindow
T1 ,VW K&auml;fer,VW Beetle
Jetta Mk1,VW Jetta 1,VW Jetta Mk1
Jetta Mk2,VW Jetta 2,VW Jetta Mk2
Caddy Mk1,VW Golf 1 Caddy,VW Caddy
T1 Cabrio  ,VW K&auml;fer Cabrio,VW Beetle Cabrio
Polo Mk2   ,VW Polo 2   ,VW Polo Mk2   
Polo Mk1,VW Polo 1,VW Polo Mk1
G1,VW Golf 1,VW Golf MK1
G2,VW Golf 2,VW Golf MK2
G1 CAB,VW Golf 1 Cabriolet,VW Golf Mk1 cabrio
KG ,Karmann Ghia,Karmann Ghia
T3,VW Typ 3,VW Typ 3
J1,VW Jetta 1,VW Jetta Mk1
SC1,VW Scirocco 1,VW Scirocco MK1
G2,Vw Golf 2,VW Golf MK2
J2,VW Jetta 2,VW Jetta Mk2
T2 / Splitscreen,VW Bus T1,VW Bus T1 splitscreen
T2 / Baywindow,VW Bus T2,VW Bus Baywindow
Type 3,VW Typ 3,VW Typ 3
Mk1 / Golf,VW Golf 1,VW Golf MK1
Mk1 / Golf Cabriolet,VW Golf 1 Cabriolet,VW Golf Mk1 cabrio
Jetta,VW Jetta,VW Jetta
Mk2 / Golf,VW Golf 2,VW Golf MK2
All aircooled T1/2 engines,Alle Typ 1 Motoren -ausser 25 & 30 PS-,All aircooled T1/2 engines. 1.9 w/c also
All aircooled Type4 engines with Solid Cam-Followers,Alle Typ 4 Motoren mit mechanischen St&ouml;sseln,All aircooled Type4 engines with Solid Cam-Followers
All aircooled Type4 engines with Hydraulic Cam-Followers,Alle Typ 4 Motoren mit Hydrost&ouml;sseln,All aircooled Type4 engines with Hydraulic Cam-Followers
All aircooled T1/2 engines fitted with a 3 bolt camshaft,Alle Typ 1 Motoren mit 3-Punkt Nockenwelle,All aircooled T1/2 engines fitted with a 3 rivet/bolt camshaft
All aircooled T1/2 engines fitted with a 4 bolt camshaft,Alle Typ 1 Motoren mit 4-Punkt Nockenwelle,All aircooled T1/2 engines fitted with a 4 rivet camshaft
All aircooled T1/2 engines. 1.9 w/c also,Alle Typ 1 Motoren -ausser 25 & 30 PS- sowie 1.9l WBX,All aircooled T1/2 engines. 1.9 w/c also
All aircooled T1/2 engines fitted with a 3 rivet/bolt camshaft,Alle Typ 1 Motoren mit 3-Punkt Nockenwelle,All aircooled T1/2 engines fitted with a 3 rivet/bolt camshaft
All aircooled T1/2 engines fitted with a 4 rivet camshaft,Alle Typ 1 Motoren mit 4-Punkt Nockenwelle,All aircooled T1/2 engines fitted with a 4 rivet camshaft
All T4 engines 1700-2000cc,Alle Typ 4 Motoren 1.7 -2.0l,All T4 engines 1700-2000cc
All aircooled Type4 engines,Alle Typ 4 Motoren,All T4 engines 1700-2000cc
T2 Split,VW Bus T1,VW Bus T1 splitscreen
All aircooled T1/2 engines fitted with doghouse oil cooler system,Alle Typ 1 Motoren mit versetztem Ölk&uuml;hler,All aircooled T1/2 engines fitted with doghouse oil cooler system
T2/Bus,VW Bus T2,VW Bus T2
T1/Beetle,VW Käfer,VW Käfer
T25 80-92 CT & WBX,VW Bus T3 ´80-´92 mit WBX & CT Motor,VW Bus T25 `80-`92 with CT & WBX Engine
T2 / Baywindow 68-79 1600cc,VW Bus T2 ´68-´79 mit 1.6l Motor,VW Bus T2 `68-´79 with 1600cc engine
T2 / Splitscreen 1961-67,VW Bus T1 ´61-´67,VW Bus T1 ´61-´67
